file_timestamp,systolic_peak_timestamp
1764757309,1764757309718680000
1764757309,1764757310202903742
1764757309,1764757311019612694
1764757309,1764757311951235648
1764757309,1764757313005680000
1764757309,1764757313614145534
1764757309,1764757314348890627
1764757309,1764757315317680000
1764757309,1764757316271680000
1764757309,1764757317063379458
1764757309,1764757317855531518
1764757309,1764757318692680000
1764757309,1764757319504680000
1764757309,1764757320457680000
1764757309,1764757321567680000
1764757309,1764757322840303146
1764757309,1764757324281625028
1764757309,1764757325286605680
1764757309,1764757326254680000
1764757309,1764757327645622532
1764757309,1764757328872680000
1764757309,1764757330068861437
1764757309,1764757331364127309
1764757309,1764757332401193302
1764757309,1764757333424904926
1764757309,1764757334243205008
1764757309,1764757334903163382
1764757309,1764757335732857538
1764757309,1764757336622680000
1764757309,1764757337473531521
1764757309,1764757338344746978
1764757309,1764757339236239776
1764757309,1764757340197680000
1764757309,1764757341005680000
1764757309,1764757341970890206
1764757309,1764757342564762774
1764757309,1764757343771680000
1764757309,1764757345392122314
1764757309,1764757346467579358
1764757309,1764757347085650028
1764757309,1764757347835618992
1764757309,1764757348355918228
1764757309,1764757349016793416
1764757309,1764757349572415146
1764757309,1764757350316648910
1764757309,1764757351067680000
1764757309,1764757351598680000
1764757309,1764757352332680000
1764757309,1764757353081489454
1764757309,1764757353547406840
1764757309,1764757354198108182
1764757309,1764757355620719246
1764757309,1764757356909442548
1764757309,1764757357819680000
1764757309,1764757358686224044
1764757309,1764757359377981928
1764757309,1764757360337680000
1764757309,1764757361399680000
1764757309,1764757362599003048
1764757309,1764757363549410940
1764757309,1764757364712680000
1764757309,1764757365641680000
1764757309,1764757366548382086
1764757309,1764757367288807804
1764757309,1764757368257822200
1764757309,1764757369235680000
1764757309,1764757370196680000
1764757309,1764757371141680000
1764757309,1764757372098680000
1764757309,1764757372618680000
1764757309,1764757373665680000
1764757309,1764757374633680000
1764757309,1764757375587379345
1764757309,1764757376336680000
1764757309,1764757377180423820
1764757309,1764757378446680000
1764757309,1764757379283605460
1764757309,1764757379981988912
1764757309,1764757380775628806
1764757309,1764757381324405164
1764757309,1764757381977680000
1764757309,1764757382853152068
1764757309,1764757383503532992
1764757309,1764757384337368974
1764757309,1764757385408680000
1764757309,1764757386470680000
1764757309,1764757387533680000
1764757309,1764757388853680000
1764757309,1764757390173680000
1764757309,1764757391282680000
1764757309,1764757392368086788
1764757309,1764757393303382246
1764757309,1764757394253734238
1764757309,1764757395495944620
1764757309,1764757396111680000
1764757309,1764757397220680000
1764757309,1764757398322680000
1764757309,1764757399424680000
1764757309,1764757400752680000
1764757309,1764757402098953144
1764757309,1764757402954799198
1764757309,1764757403805861056
1764757309,1764757404572059882
1764757309,1764757405408769719
1764757309,1764757406228083224
1764757309,1764757407165713674
1764757309,1764757407786351382
1764757309,1764757408345181644
1764757309,1764757409081680000
1764757309,1764757409937378448
1764757309,1764757410686190908
1764757309,1764757411493787176
1764757309,1764757412099182464
1764757309,1764757412891421256
1764757309,1764757413718119950
1764757309,1764757414557973104
1764757309,1764757415534452085
1764757309,1764757416508251254
1764757309,1764757417443212864
1764757309,1764757418571950282
1764757309,1764757420129030078
1764757309,1764757421167866444
1764757309,1764757422003019621
1764757309,1764757422885068048
1764757309,1764757423817587772
1764757309,1764757424751398159
1764757309,1764757425753427356
1764757309,1764757426759680000
1764757309,1764757427228525980
1764757309,1764757428157232826
1764757309,1764757428936307564
1764757309,1764757429966155840
1764757309,1764757431458152038
1764757309,1764757432521895110
1764757309,1764757433399527702
1764757309,1764757434278134640
1764757309,1764757435231434720
1764757309,1764757435766498656
1764757309,1764757436425343204
1764757309,1764757437140452276
1764757309,1764757438037969302
1764757309,1764757439149474274
1764757309,1764757440137060544
1764757309,1764757441472680000
1764757309,1764757442448680000
1764757309,1764757443431851097
1764757309,1764757444218495696
1764757309,1764757445342730680
1764757309,1764757445924310028
1764757309,1764757446771983850
1764757309,1764757447375722704
1764757309,1764757447949651584
1764757309,1764757449275941998
1764757309,1764757450445726878
1764757309,1764757451150456902
1764757309,1764757452169254178
1764757309,1764757452928303476
1764757309,1764757453900228278
1764757309,1764757454680081298
1764757309,1764757455669708714
1764757309,1764757456497329752
1764757309,1764757457370819640
